x,y
4826041.2202590685,2175911.2931311294
4775149.616942116,2126224.994420017
7214135.493823499,960612.7140079945
7191965.273029015,996295.9876208769
7177359.050134015,1018193.3892550705
7390990.0451377975,1006988.1464949189
7230273.326802099,933750.8785547095
7188292.99451595,924599.4038517604
7075278.034748431,1021008.3835166794
7196451.9429578865,928637.4694300771
7193709.443442379,922248.9234942659
8063240.293014288,2476723.3890074207
8713790.042228278,2141643.951591912
8574581.588573486,2133951.719090801
8962548.030755568,2157407.5418708194
8984823.407233227,2137613.7259096545
7196498.334897265,937201.107504807
7191098.341669248,932048.274231945
7166795.162414407,855040.8121860069
7196300.358633768,886730.6867542847
4003292.833277427,1993689.3322722362
4031142.5529125156,1989297.1750708597
4028104.9440166783,1983828.910640373
4018317.3881745734,2008588.609997825
4022081.24631188,2004867.8015325917
4015893.698914983,2003277.9465102456
4020642.512345473,2001616.7055251494
4011547.323332972,2007894.5810049716
4018768.9808780043,1999310.8355774651
3960312.2431564387,1923957.4479893476
4043348.636032038,2091064.8034969666
4264403.808264092,3694893.3104860606
5217812.416179458,4133622.4825939857
6429287.1226140065,3699381.670783429
8855470.976751434,2140059.950623431
8964221.444128722,2079078.1604900903
4036293.4041915485,2000017.8850483857
3977785.305519223,1966247.7491064214
4434704.962090675,2740688.9203410884
4000232.369206229,2008160.5404176093
3933467.775853445,1936839.508512738
4043086.2305464023,2842161.071201112
4340898.122068742,1883222.1362180372
8142354.556263848,1685721.2505770114
8266360.178211113,1571724.9472117012
8150042.399747751,1486109.8979628598
8231587.7974078795,1498187.1793695102
8005981.797146489,1631800.2683497493
8146017.837256765,1591044.9595266443
8254012.769839228,1549491.405391636
8148518.446225629,1423378.9559486972
8203241.380374024,1423551.7364002767
8060097.714828775,1521208.534223969
4064663.3848221526,1953118.5502329255
4027458.4960536133,1973558.1954819362
7641140.09504624,1245888.9193626207
7751346.65124764,1403684.8849593017
7639353.231233861,1251145.7573383336
4608571.000451261,1999099.6623058377
4886307.091882578,1972926.332659718
4767679.0181412455,1847525.7220596285
5028671.410950006,2530185.8939297223
4712948.791869752,2696531.703560609
4938013.539512762,2180174.96049576
4728276.106543928,1766626.4865441546
4819227.060774025,1715122.9461646886
4780058.633031916,2482636.2290643943
4720683.683841791,2009648.1100837407
4759319.111926217,2074944.2354954067
4810601.535795518,2178925.7106117313
4840216.313414941,2162721.7664749073
4803504.655503355,2196055.9584068414
4593896.775780206,2216435.0601012567
4032313.371003785,2006640.3204044928
4024947.600513657,1997300.0646324423
4176753.6061355406,2330951.924901513
4218722.114275841,1963815.083109637
4126063.5443717907,1940985.1374614278
4051362.1935125557,2008673.9394609835
3878558.0799034904,2076946.4482471552
3919357.066056024,2111995.2259198334
3922418.84695104,1984995.5806208977
4301577.398569338,2145431.195698989
4300689.590676522,1947297.0585914822
4496342.674977679,1929190.3386276094
7753327.295481665,1433560.5624795293
7747213.92864708,1439575.8805318198
7795552.469203317,1343723.3793301198
7590809.607488357,1248519.5605881016
7371616.197392361,1301569.4881733677
7704437.25615547,1457729.283655911
7609495.835479564,1237338.805741906
7759136.810265988,1439025.1300281433
4036443.5272887875,1977906.7040509607
4010742.727060064,1985679.8950447123
4036511.6087674326,1984280.059531493
7648612.253325496,1254634.4417026099
7610571.367556807,1285199.6975466039
7839716.012622952,1526008.9496092536
7625457.527846406,1241412.195961356
7628572.144276698,1240357.754358024
7632533.963840934,1282126.8063950844
7742820.28801981,1320455.3745554886
7603671.8520088,1246821.3326259272
7588446.346109402,1273676.1685406526
7626440.797138226,1248326.9060032591
4045839.028059381,1968717.0628539922
4139649.819252586,2067932.11482426
4027940.7922822894,1994027.6922440177
4359096.641078008,2000596.4732459136
4033727.0594828837,2019224.3016218063
4070222.8948749197,2014994.2582598126
7612706.024534838,1250739.5651514577
7685399.440737449,1279048.8902973803
7664674.840116961,1225294.0641288038
7628865.742561677,1248948.338354929
7626354.4609185485,1252576.7472648125
7542096.3343771305,1488224.0947567066
7601901.535175885,1195978.2834184212
7705365.479299718,1258417.6121196325
7620806.66701753,1241002.529818176
7761256.600910556,1273521.4454214452
7615537.524784443,1266941.4368657132
7675698.559424562,1358672.4496831577
7633608.442758252,1243087.7511517154
7617471.052497686,1247359.3971522942
7248699.422830537,958561.9730913519
6817692.260131312,1358377.7986501507
