Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation,Start Date,End Date
Hon.,Ronald,Duhamel,Saint Boniface,Manitoba,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Maurice,Dumas,Argenteuil—Papineau—Mirabel,Quebec,Bloc Québécois,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,John,Duncan,Vancouver Island North,British Columbia,Canadian Alliance,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Gordon,Earle,Halifax West,Nova Scotia,NDP,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Wayne,Easter,Malpeque,Prince Edward Island,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Art,Eggleton,York Centre,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Reed,Elley,Nanaimo—Cowichan,British Columbia,Canadian Alliance,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Ken,Epp,Elk Island,Alberta,Canadian Alliance,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Sheila,Finestone,Mount Royal,Quebec,Liberal,1997-06-02 12:00:00 AM,1999-08-10 12:00:00 AM
,John,Finlay,Oxford,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Raymonde,Folco,Laval West,Quebec,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Joe,Fontana,London North Centre,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Paul,Forseth,New Westminster—Coquitlam—Burnaby,British Columbia,Canadian Alliance,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Ghislain,Fournier,Manicouagan,Quebec,Bloc Québécois,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Hedy,Fry,Vancouver Centre,British Columbia,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Alfonso,Gagliano,Saint-Léonard—Saint-Michel,Quebec,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Christiane,Gagnon,Québec,Quebec,Bloc Québécois,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Roger,Gallaway,Sarnia—Lambton,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Michel,Gauthier,Roberval,Quebec,Bloc Québécois,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Bill,Gilmour,Nanaimo—Alberni,British Columbia,Canadian Alliance,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Jocelyne,Girard-Bujold,Jonquière,Quebec,Bloc Québécois,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,John,Godfrey,Don Valley West,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Maurice,Godin,Châteauguay,Quebec,Bloc Québécois,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Yvon,Godin,Acadie—Bathurst,New Brunswick,NDP,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Peter,Goldring,Edmonton Centre-East,Alberta,Canadian Alliance,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Ralph,Goodale,Wascana,Saskatchewan,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Jim,Gouk,Kootenay—Boundary—Okanagan,British Columbia,Canadian Alliance,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Bill,Graham,Toronto Centre—Rosedale,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Rt. Hon,Herb,Gray,Windsor West,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Gurmant,Grewal,Surrey Central,British Columbia,Canadian Alliance,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Deborah,Grey,Edmonton North,Alberta,Canadian Alliance,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Ivan,Grose,Oshawa,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Dennis,Gruending,Saskatoon—Rosetown—Biggar,Saskatchewan,NDP,1999-11-15 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Albina,Guarnieri,Mississauga East,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Monique,Guay,Laurentides,Quebec,Bloc Québécois,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Michel,Guimond,Beauport—Montmorency—Côte-de-Beaupré—Île-d'Orléans,Quebec,Bloc Québécois,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Art,Hanger,Calgary Northeast,Alberta,Canadian Alliance,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Mac,Harb,Ottawa Centre,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Louise,Hardy,Yukon,Yukon,NDP,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Richard,Harris,Prince George—Bulkley Valley,British Columbia,Canadian Alliance,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Jim,Hart,Okanagan—Coquihalla,British Columbia,Canadian Alliance,1997-06-02 12:00:00 AM,2000-07-19 12:00:00 AM
Hon.,John,Harvard,Charleswood St. James—Assiniboia,Manitoba,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,André,Harvey,Chicoutimi—Le Fjord,Quebec,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Sharon,Hayes,Port Moody—Coquitlam—Port Coquitlam,British Columbia,Reform,1997-06-02 12:00:00 AM,1997-10-01 12:00:00 AM
Hon.,Loyola,Hearn,St. John's West,Newfoundland and Labrador,PC,2000-05-15 12:00:00 AM,2000-11-26 12:00:00 AM
,John,Herron,Fundy—Royal,New Brunswick,PC,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Grant,Hill,Macleod,Alberta,Canadian Alliance,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Jay,Hill,Prince George—Peace River,British Columbia,Canadian Alliance,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Howard,Hilstrom,Selkirk—Interlake,Manitoba,Canadian Alliance,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Jake,Hoeppner,Portage—Lisgar,Manitoba,Independent,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Charles,Hubbard,Miramichi,New Brunswick,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Tony,Ianno,Trinity—Spadina,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,David,Iftody,Provencher,Manitoba,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Ovid,Jackson,Bruce—Grey—Owen Sound,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Rahim,Jaffer,Edmonton—Strathcona,Alberta,Canadian Alliance,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Marlene,Jennings,Notre-Dame-de-Grâce—Lachine,Quebec,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Dale,Johnston,Wetaskiwin,Alberta,Canadian Alliance,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Jim,Jones,Markham,Ontario,Canadian Alliance,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Joe,Jordan,Leeds—Grenville,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Nancy,Karetak-Lindell,Nunavut,Nunavut,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Jim,Karygiannis,Scarborough—Agincourt,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Gerald,Keddy,South Shore,Nova Scotia,PC,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Jason,Kenney,Calgary Southeast,Alberta,Canadian Alliance,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Allan,Kerpan,Blackstrap,Saskatchewan,Canadian Alliance,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Stan,Keyes,Hamilton West,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Bob,Kilger,Stormont—Dundas—Charlottenburgh,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,David,Kilgour,Edmonton Southeast,Alberta,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Gar,Knutson,Elgin—Middlesex—London,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Derrek,Konrad,Prince Albert,Saskatchewan,Canadian Alliance,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Karen,Kraft Sloan,York North,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Rick,Laliberte,Desnethé—Missinippi—Churchill River,Saskatchewan,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Francine,Lalonde,Mercier,Quebec,Bloc Québécois,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Walt,Lastewka,St. Catharines,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,René,Laurin,Joliette,Quebec,Bloc Québécois,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Raymond,Lavigne,Verdun—Saint-Henri—Saint-Paul—Pointe Saint-Charles,Quebec,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Ghislain,Lebel,Chambly,Quebec,Bloc Québécois,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Derek,Lee,Scarborough—Rouge River,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Réjean,Lefebvre,Champlain,Quebec,Independent,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Sophia,Leung,Vancouver Kingsway,British Columbia,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Wendy,Lill,Dartmouth,Nova Scotia,NDP,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Rick,Limoges,Windsor—St. Clair,Ontario,Liberal,1999-04-12 12:00:00 AM,2000-11-26 12:00:00 AM
,Clifford,Lincoln,Lac-Saint-Louis,Quebec,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Judi,Longfield,Whitby—Ajax,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Yvan,Loubier,Saint-Hyacinthe—Bagot,Quebec,Bloc Québécois,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Eric,Lowther,Calgary Centre,Alberta,Canadian Alliance,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Gary,Lunn,Saanich—Gulf Islands,British Columbia,Canadian Alliance,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Lawrence,MacAulay,Cardigan,Prince Edward Island,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Peter,MacKay,Pictou—Antigonish—Guysborough,Nova Scotia,PC,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Steve,Mahoney,Mississauga West,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Gurbax,Malhi,Bramalea—Gore—Malton—Springdale,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,John,Maloney,Erie—Lincoln,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Peter,Mancini,Sydney—Victoria,Nova Scotia,NDP,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,John,Manley,Ottawa South,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Preston,Manning,Calgary Southwest,Alberta,Canadian Alliance,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Richard,Marceau,Charlesbourg—Jacques-Cartier,Quebec,Bloc Québécois,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Jean-Paul,Marchand,Québec Est,Quebec,Bloc Québécois,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Sergio,Marchi,York West,Ontario,Liberal,1997-06-02 12:00:00 AM,1999-08-03 12:00:00 AM
,Inky,Mark,Dauphin—Swan River,Manitoba,Canadian Alliance,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Diane,Marleau,Sudbury,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Keith,Martin,Esquimalt—Juan de Fuca,British Columbia,Canadian Alliance,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Pat,Martin,Winnipeg Centre,Manitoba,NDP,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Right Hon.,Paul,Martin,LaSalle—Émard,Quebec,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Marcel,Massé,Hull—Aylmer,Quebec,Liberal,1997-06-02 12:00:00 AM,1999-09-10 12:00:00 AM
,Bill,Matthews,Burin—St. George's,Newfoundland and Labrador,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Philip,Mayfield,Cariboo—Chilcotin,British Columbia,Canadian Alliance,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Ian,McClelland,Edmonton Southwest,Alberta,Canadian Alliance,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Larry,McCormick,Hastings—Frontenac—Lennox and Addington,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Alexa,McDonough,Halifax,Nova Scotia,NDP,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Joe,McGuire,Egmont,Prince Edward Island,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,John,McKay,Scarborough East,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Anne,McLellan,Edmonton West,Alberta,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Grant,McNally,Dewdney—Alouette,British Columbia,Canadian Alliance,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Dan,McTeague,Pickering—Ajax—Uxbridge,Ontario,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
